adx_threshold,swing_period,cooldown_bars,min_vwap_dist_pct,pos_frac_cap,ema_filter,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital,sl_rate_pct
30,100,20,0.01,0.25,True,-15.66,-2.71,-0.569,-0.105,-18.77,-0.144,28.12,0.717,64,8433.66,71.88
30,200,20,0.01,0.2,True,-13.62,-2.33,-0.574,-0.099,-15.66,-0.149,28.07,0.69,57,8637.53,71.93
35,200,20,0.01,0.15,True,-10.05,-1.69,-0.574,-0.081,-12.03,-0.141,28.57,0.637,42,8995.07,71.43
30,100,10,0.002,0.25,True,-22.96,-4.11,-0.587,-0.175,-29.4,-0.14,32.52,0.824,163,7704.45,65.64
25,200,10,0.002,0.25,True,-24.23,-4.37,-0.591,-0.182,-32.25,-0.136,32.56,0.826,172,7577.24,66.86
30,200,30,0.005,0.15,True,-11.97,-2.03,-0.599,-0.114,-15.25,-0.133,35.37,0.733,82,8802.87,62.2
35,200,10,0.002,0.25,True,-18.31,-3.2,-0.617,-0.133,-21.88,-0.146,30.77,0.744,91,8169.48,69.23
30,50,30,0.005,0.25,True,-19.59,-3.45,-0.62,-0.146,-25.56,-0.135,31.13,0.765,106,8040.9,68.87
35,100,20,0.01,0.25,True,-14.48,-2.49,-0.624,-0.095,-18.86,-0.132,26.09,0.638,46,8551.86,73.91
35,100,30,0.01,0.15,True,-9.96,-1.68,-0.627,-0.082,-11.33,-0.148,30.0,0.604,40,9004.07,70.0
35,100,10,0.01,0.25,True,-17.41,-3.04,-0.63,-0.115,-23.58,-0.129,26.98,0.683,63,8258.52,73.02
30,100,20,0.005,0.2,True,-18.47,-3.24,-0.634,-0.152,-24.88,-0.13,32.48,0.768,117,8153.3,66.67
25,200,30,0.005,0.25,True,-20.34,-3.6,-0.648,-0.148,-26.02,-0.138,34.23,0.76,111,7966.14,64.86
30,100,10,0.005,0.2,True,-20.45,-3.62,-0.65,-0.173,-27.13,-0.133,31.88,0.78,138,7954.75,66.67
35,200,10,0.01,0.25,True,-17.41,-3.03,-0.651,-0.112,-22.14,-0.137,26.32,0.656,57,8258.94,73.68
30,200,30,0.01,0.25,True,-16.11,-2.79,-0.651,-0.107,-17.6,-0.159,26.42,0.647,53,8388.73,71.7
30,50,30,0.01,0.2,True,-15.85,-2.74,-0.654,-0.123,-16.13,-0.17,30.56,0.689,72,8415.2,69.44
30,100,10,0.01,0.2,True,-18.03,-3.15,-0.656,-0.134,-21.76,-0.145,28.92,0.709,83,8196.55,71.08
30,50,20,0.005,0.25,True,-23.85,-4.29,-0.666,-0.179,-29.13,-0.147,30.88,0.776,136,7615.16,68.38
30,200,10,0.01,0.25,True,-20.21,-3.57,-0.671,-0.133,-25.36,-0.141,27.03,0.687,74,7978.97,72.97
35,50,30,0.01,0.25,True,-14.89,-2.56,-0.671,-0.1,-17.7,-0.145,26.09,0.616,46,8510.79,73.91
25,50,30,0.005,0.25,True,-23.86,-4.3,-0.675,-0.182,-27.8,-0.155,31.65,0.776,139,7614.28,68.35
