min_size_pct,min_bars_in,rr_ratio,risk_per_trade,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital
7.0,6,3.0,0.08,182.65,18.18,0.699,0.112,-23.7,0.767,54.84,2.267,31,28264.72
7.0,5,3.0,0.1,173.53,17.56,0.599,0.097,-28.95,0.606,51.52,1.954,33,27352.62
7.0,10,2.5,0.05,172.18,17.46,0.942,0.162,-21.22,0.823,58.62,2.99,29,27218.12
7.0,8,2.5,0.05,167.66,17.15,0.921,0.158,-19.82,0.865,56.67,2.854,30,26766.41
7.0,5,4.0,0.08,160.6,16.64,0.59,0.111,-29.89,0.557,50.0,2.044,32,26059.98
7.0,10,1.5,0.08,154.63,16.21,0.766,0.104,-32.12,0.505,57.58,2.132,33,25463.33
7.0,4,4.0,0.15,154.48,16.2,0.498,0.109,-77.61,0.209,41.46,1.696,41,25447.62
7.0,6,2.0,0.2,148.99,15.79,0.519,0.079,-66.66,0.237,47.22,1.649,36,24899.25
7.0,6,2.0,0.15,148.96,15.79,0.519,0.079,-55.09,0.287,47.22,1.649,36,24896.39
7.0,5,2.5,0.08,145.36,15.52,0.616,0.101,-30.17,0.514,50.0,1.875,36,24536.04
7.0,4,4.0,0.1,144.3,15.44,0.498,0.109,-59.23,0.261,41.46,1.696,41,24430.34
7.0,10,4.0,0.05,140.67,15.16,0.755,0.144,-15.04,1.008,53.85,2.842,26,24066.91
7.0,8,1.5,0.08,140.06,15.12,0.72,0.098,-30.17,0.501,55.88,2.021,34,24006.24
7.0,5,3.0,0.08,136.77,14.86,0.599,0.097,-23.7,0.627,51.52,1.954,33,23676.97
7.0,8,4.0,0.05,132.56,14.53,0.725,0.138,-15.04,0.966,51.85,2.633,27,23255.59
7.0,4,4.0,0.08,124.47,13.88,0.498,0.109,-49.91,0.278,41.46,1.696,41,22447.31
7.0,10,3.0,0.05,119.17,13.44,0.781,0.129,-16.8,0.8,55.56,2.682,27,21916.57
7.0,6,4.0,0.05,118.08,13.35,0.674,0.126,-19.21,0.695,53.33,2.352,30,21808.28
7.0,8,3.0,0.05,115.53,13.14,0.761,0.124,-15.33,0.857,53.57,2.557,28,21552.84
7.0,6,2.0,0.1,115.03,13.1,0.519,0.079,-40.52,0.323,47.22,1.649,36,21503.14
7.0,4,4.0,0.2,112.46,12.88,0.498,0.109,-88.81,0.145,41.46,1.696,41,21245.63
7.0,10,2.0,0.05,107.91,12.49,0.795,0.12,-21.22,0.588,56.67,2.351,30,20791.15
7.0,6,2.5,0.05,107.28,12.43,0.715,0.117,-19.82,0.627,52.94,2.134,34,20727.51
7.0,8,2.0,0.05,104.6,12.19,0.772,0.116,-19.82,0.615,54.84,2.259,31,20459.51
7.0,6,3.0,0.05,102.12,11.97,0.699,0.112,-15.33,0.781,54.84,2.267,31,20211.51
7.0,5,4.0,0.05,95.58,11.38,0.59,0.111,-19.21,0.593,50.0,2.044,32,19558.03
7.0,6,2.0,0.08,94.37,11.27,0.519,0.079,-33.72,0.334,47.22,1.649,36,19436.78
7.0,10,2.5,0.03,86.81,10.57,0.942,0.162,-13.21,0.8,58.62,2.99,29,18681.07
7.0,10,1.5,0.05,85.89,10.48,0.766,0.104,-21.22,0.494,57.58,2.132,33,18588.97
